GEO_ID,STATE,NAME,Local Tax rate state average,Local Tax Rate
0500000US08045,Colorado,"Garfield County, Colorado",4.54%,4.737
0500000US08047,Colorado,"Gilpin County, Colorado",4.54%,4.631
0500000US08049,Colorado,"Grand County, Colorado",4.54%,4.647
0500000US08051,Colorado,"Gunnison County, Colorado",4.54%,4.61
0500000US08055,Colorado,"Huerfano County, Colorado",4.54%,4.338
0500000US08059,Colorado,"Jefferson County, Colorado",4.54%,4.531
0500000US08063,Colorado,"Kit Carson County, Colorado",4.54%,4.34
0500000US08065,Colorado,"Lake County, Colorado",4.54%,4.352
0500000US08067,Colorado,"La Plata County, Colorado",4.54%,4.706
0500000US08069,Colorado,"Larimer County, Colorado",4.54%,4.606
0500000US08071,Colorado,"Las Animas County, Colorado",4.54%,4.52
0500000US08073,Colorado,"Lincoln County, Colorado",4.54%,4.778
0500000US08075,Colorado,"Logan County, Colorado",4.54%,4.52
0500000US08077,Colorado,"Mesa County, Colorado",4.54%,4.715
0500000US08081,Colorado,"Moffat County, Colorado",4.54%,4.588
0500000US08083,Colorado,"Montezuma County, Colorado",4.54%,4.379
0500000US08085,Colorado,"Montrose County, Colorado",4.54%,4.678
0500000US08087,Colorado,"Morgan County, Colorado",4.54%,4.383
0500000US08089,Colorado,"Otero County, Colorado",4.54%,4.515
0500000US08091,Colorado,"Ouray County, Colorado",4.54%,4.343
0500000US08093,Colorado,"Park County, Colorado",4.54%,4.542
0500000US08095,Colorado,"Phillips County, Colorado",4.54%,4.295
0500000US08097,Colorado,"Pitkin County, Colorado",4.54%,4.556
0500000US08099,Colorado,"Prowers County, Colorado",4.54%,4.576
0500000US08101,Colorado,"Pueblo County, Colorado",4.54%,4.172
0500000US08103,Colorado,"Rio Blanco County, Colorado",4.54%,4.554
0500000US08105,Colorado,"Rio Grande County, Colorado",4.54%,4.224
0500000US08107,Colorado,"Routt County, Colorado",4.54%,4.44
0500000US08109,Colorado,"Saguache County, Colorado",4.54%,4.753
0500000US08113,Colorado,"San Miguel County, Colorado",4.54%,4.54
0500000US08115,Colorado,"Sedgwick County, Colorado",4.54%,4.504
0500000US08117,Colorado,"Summit County, Colorado",4.54%,4.74
0500000US08119,Colorado,"Teller County, Colorado",4.54%,4.479
0500000US08121,Colorado,"Washington County, Colorado",4.54%,4.731
0500000US08123,Colorado,"Weld County, Colorado",4.54%,4.776
0500000US08125,Colorado,"Yuma County, Colorado",4.54%,4.406
0500000US08053,Colorado,"Hinsdale County, Colorado",4.54%,4.69
0500000US08057,Colorado,"Jackson County, Colorado",4.54%,4.47
0500000US08017,Colorado,"Cheyenne County, Colorado",4.54%,4.47
0500000US08111,Colorado,"San Juan County, Colorado",4.54%,4.492
0500000US08061,Colorado,"Kiowa County, Colorado",4.54%,4.524
0500000US08033,Colorado,"Dolores County, Colorado",4.54%,4.081
0500000US08079,Colorado,"Mineral County, Colorado",4.54%,4.504
0500000US09001,Connecticut,"Fairfield County, Connecticut",None,None
0500000US09003,Connecticut,"Hartford County, Connecticut",None,None
0500000US09005,Connecticut,"Litchfield County, Connecticut",None,None
0500000US09007,Connecticut,"Middlesex County, Connecticut",None,None
0500000US09009,Connecticut,"New Haven County, Connecticut",None,None
0500000US09011,Connecticut,"New London County, Connecticut",None,None
0500000US09013,Connecticut,"Tolland County, Connecticut",None,None
0500000US09015,Connecticut,"Windham County, Connecticut",None,None
0500000US10001,Delaware,"Kent County, Delaware",None,None
0500000US10003,Delaware,"New Castle County, Delaware",None,None
0500000US10005,Delaware,"Sussex County, Delaware",None,None
0500000US11001,District of Columbia,"District of Columbia, District of Columbia",None,None
0500000US12001,Florida,"Alachua County, Florida",0.65%,0.654
0500000US12003,Florida,"Baker County, Florida",0.65%,0.619
0500000US12005,Florida,"Bay County, Florida",0.65%,0.668
0500000US12007,Florida,"Bradford County, Florida",0.65%,0.647
0500000US12009,Florida,"Brevard County, Florida",0.65%,0.622
0500000US12011,Florida,"Broward County, Florida",0.65%,0.663
0500000US12013,Florida,"Calhoun County, Florida",0.65%,0.665
0500000US12015,Florida,"Charlotte County, Florida",0.65%,0.612
0500000US12017,Florida,"Citrus County, Florida",0.65%,0.706
0500000US12019,Florida,"Clay County, Florida",0.65%,0.663
0500000US12021,Florida,"Collier County, Florida",0.65%,0.647
0500000US12023,Florida,"Columbia County, Florida",0.65%,0.672
0500000US12027,Florida,"DeSoto County, Florida",0.65%,0.63
0500000US12029,Florida,"Dixie County, Florida",0.65%,0.656
0500000US12031,Florida,"Duval County, Florida",0.65%,0.616
0500000US12033,Florida,"Escambia County, Florida",0.65%,0.665
0500000US12035,Florida,"Flagler County, Florida",0.65%,0.667
0500000US12037,Florida,"Franklin County, Florida",0.65%,0.656
0500000US12039,Florida,"Gadsden County, Florida",0.65%,0.656
0500000US12041,Florida,"Gilchrist County, Florida",0.65%,0.657
0500000US12043,Florida,"Glades County, Florida",0.65%,0.645
0500000US12045,Florida,"Gulf County, Florida",0.65%,0.676
0500000US12047,Florida,"Hamilton County, Florida",0.65%,0.663
0500000US12049,Florida,"Hardee County, Florida",0.65%,0.662
0500000US12051,Florida,"Hendry County, Florida",0.65%,0.623
0500000US12053,Florida,"Hernando County, Florida",0.65%,0.685
0500000US12055,Florida,"Highlands County, Florida",0.65%,0.621
0500000US12057,Florida,"Hillsborough County, Florida",0.65%,0.65
0500000US12059,Florida,"Holmes County, Florida",0.65%,0.646
0500000US12061,Florida,"Indian River County, Florida",0.65%,0.674
0500000US12063,Florida,"Jackson County, Florida",0.65%,0.645
0500000US12065,Florida,"Jefferson County, Florida",0.65%,0.706
0500000US12067,Florida,"Lafayette County, Florida",0.65%,0.653
0500000US12069,Florida,"Lake County, Florida",0.65%,0.658
0500000US12071,Florida,"Lee County, Florida",0.65%,0.613
0500000US12073,Florida,"Leon County, Florida",0.65%,0.673
0500000US12075,Florida,"Levy County, Florida",0.65%,0.631
0500000US12077,Florida,"Liberty County, Florida",0.65%,0.667
0500000US12079,Florida,"Madison County, Florida",0.65%,0.622
0500000US12081,Florida,"Manatee County, Florida",0.65%,0.646
0500000US12083,Florida,"Marion County, Florida",0.65%,0.591
0500000US12085,Florida,"Martin County, Florida",0.65%,0.675
0500000US12086,Florida,"Miami-Dade County, Florida",0.65%,0.634
0500000US12087,Florida,"Monroe County, Florida",0.65%,0.656
0500000US12089,Florida,"Nassau County, Florida",0.65%,0.655
0500000US12091,Florida,"Okaloosa County, Florida",0.65%,0.606
0500000US12093,Florida,"Okeechobee County, Florida",0.65%,0.701
0500000US12095,Florida,"Orange County, Florida",0.65%,0.621
0500000US12097,Florida,"Osceola County, Florida",0.65%,0.664
0500000US12099,Florida,"Palm Beach County, Florida",0.65%,0.663
0500000US12101,Florida,"Pasco County, Florida",0.65%,0.668
0500000US12103,Florida,"Pinellas County, Florida",0.65%,0.626
0500000US12105,Florida,"Polk County, Florida",0.65%,0.615
0500000US12107,Florida,"Putnam County, Florida",0.65%,0.646
0500000US12109,Florida,"St. Johns County, Florida",0.65%,0.655
0500000US12111,Florida,"St. Lucie County, Florida",0.65%,0.69
0500000US12113,Florida,"Santa Rosa County, Florida",0.65%,0.644
0500000US12115,Florida,"Sarasota County, Florida",0.65%,0.64
0500000US12117,Florida,"Seminole County, Florida",0.65%,0.652
0500000US12119,Florida,"Sumter County, Florida",0.65%,0.64
0500000US12121,Florida,"Suwannee County, Florida",0.65%,0.665
0500000US12123,Florida,"Taylor County, Florida",0.65%,0.66
0500000US12125,Florida,"Union County, Florida",0.65%,0.637
0500000US12127,Florida,"Volusia County, Florida",0.65%,0.631
0500000US12129,Florida,"Wakulla County, Florida",0.65%,0.636
0500000US12131,Florida,"Walton County, Florida",0.65%,0.611
0500000US12133,Florida,"Washington County, Florida",0.65%,0.666
0500000US13001,Georgia,"Appling County, Georgia",2.96%,2.979
0500000US13003,Georgia,"Atkinson County, Georgia",2.96%,2.911
0500000US13005,Georgia,"Bacon County, Georgia",2.96%,3.061
0500000US13007,Georgia,"Baker County, Georgia",2.96%,2.876
0500000US13009,Georgia,"Baldwin County, Georgia",2.96%,2.782
0500000US13011,Georgia,"Banks County, Georgia",2.96%,2.873
0500000US13013,Georgia,"Barrow County, Georgia",2.96%,2.945
0500000US13015,Georgia,"Bartow County, Georgia",2.96%,2.913
0500000US13017,Georgia,"Ben Hill County, Georgia",2.96%,2.964
0500000US13019,Georgia,"Berrien County, Georgia",2.96%,3.019
0500000US13021,Georgia,"Bibb County, Georgia",2.96%,2.933
0500000US13023,Georgia,"Bleckley County, Georgia",2.96%,3.028
0500000US13025,Georgia,"Brantley County, Georgia",2.96%,2.729
0500000US13027,Georgia,"Brooks County, Georgia",2.96%,2.993
0500000US13029,Georgia,"Bryan County, Georgia",2.96%,2.947
0500000US13031,Georgia,"Bulloch County, Georgia",2.96%,3.071
0500000US13033,Georgia,"Burke County, Georgia",2.96%,2.831
0500000US13035,Georgia,"Butts County, Georgia",2.96%,2.996
0500000US13037,Georgia,"Calhoun County, Georgia",2.96%,3.038
0500000US13039,Georgia,"Camden County, Georgia",2.96%,3.149
0500000US13043,Georgia,"Candler County, Georgia",2.96%,2.913
0500000US13045,Georgia,"Carroll County, Georgia",2.96%,3.089
0500000US13047,Georgia,"Catoosa County, Georgia",2.96%,3.065
0500000US13049,Georgia,"Charlton County, Georgia",2.96%,2.963
0500000US13051,Georgia,"Chatham County, Georgia",2.96%,2.901
0500000US13053,Georgia,"Chattahoochee County, Georgia",2.96%,2.828
0500000US13055,Georgia,"Chattooga County, Georgia",2.96%,2.984
0500000US13057,Georgia,"Cherokee County, Georgia",2.96%,2.782
0500000US13059,Georgia,"Clarke County, Georgia",2.96%,2.963
0500000US13061,Georgia,"Clay County, Georgia",2.96%,3.022
0500000US13063,Georgia,"Clayton County, Georgia",2.96%,3.027
0500000US13065,Georgia,"Clinch County, Georgia",2.96%,2.985
0500000US13067,Georgia,"Cobb County, Georgia",2.96%,2.973
0500000US13069,Georgia,"Coffee County, Georgia",2.96%,2.722
0500000US13071,Georgia,"Colquitt County, Georgia",2.96%,2.96
0500000US13073,Georgia,"Columbia County, Georgia",2.96%,2.895
0500000US13075,Georgia,"Cook County, Georgia",2.96%,2.855
0500000US13077,Georgia,"Coweta County, Georgia",2.96%,3.176
0500000US13079,Georgia,"Crawford County, Georgia",2.96%,2.834
